tconst,directors,writers
tt0108160,nm0001188,"nm0033578,nm0001188,nm0911486"
tt0108162,nm0637518,"nm0505615,nm0000390"
tt0108167,nm0720297,"nm0043697,nm0045870,nm0244908,nm0244909,nm0418450"
tt0108169,nm0444848,"nm0161368,nm0871596"
tt0108171,nm0515891,"nm0065847,nm0508052"
tt0108174,nm0772095,nm0289219
tt0108176,nm0433588,nm0433588
tt0108179,nm0653620,"nm0002010,nm0003340,nm0653620"
tt0108185,nm0000750,"nm0897045,nm0140643,nm0583292,nm0787289,nm0449576"
tt0108186,nm0711114,"nm0166767,nm0573185,nm0006997,nm0046943,nm0806416,nm0770974"
tt0108187,nm0001175,"nm0725009,nm0001175,nm0839372,nm0839379"
tt0108188,nm0001429,nm0001429
tt0108192,nm0407990,"nm0497043,nm0453623"
tt0108194,nm0464417,"nm0464417,nm0639129"
tt0108207,nm0950000,nm0001385
tt0108211,nm0005917,"nm0127321,nm0296356,nm0373893,nm0005917"
tt0108238,nm0380705,"nm0380705,nm0438320"
tt0108252,nm0031992,"nm0031992,nm0414934,nm0648146"
tt0108255,"nm0417708,nm0608084","nm0071970,nm0750344,nm0004412"
tt0108258,nm0411477,nm0330108
tt0108260,"nm0569166,nm0796915","nm0569166,nm0796915"
tt0108265,nm0141961,nm0271061
tt0108275,"nm0142131,nm0294878",nm0294878
tt0108277,nm0779830,"nm0560927,nm2276669,nm0779830"
tt0108281,nm0950759,nm0948137
tt0108289,nm0497758,"nm0151013,nm0497758,nm0463674"
tt0108290,nm0496312,"nm0496312,nm0223250"
tt0108291,nm0686304,"nm0097548,nm0686304"
tt0108293,nm0939147,"nm0150906,nm0938944,nm0939147"
